company_number,company_name,company_status,company_type,date_of_creation,date_of_cessation,sic_codes,postcode,has_charges,has_been_liquidated,n_officers_total,n_officers_active,n_filings_total,n_filings_year1
07448486,PIXELPULSE MEDIA LTD,active,ltd,2010-11-23,,['74100'],WA14 5GL,False,False,4,3,53,2
07254823,ENVIRONMENTS FOR LEARNING LEEDS PFI FOUR LIMITED,active,ltd,2010-05-14,,"['82990', '85600']",LS1 5AB,False,False,23,3,95,7
07302517,TRI-GLADE CLEANING SERVICES LTD,active,ltd,2010-07-02,,['81210'],UB10 0FD,False,False,1,1,39,2
07246157,CAREER DRIVE RESOURCING LTD,active,ltd,2010-05-07,,['78109'],NN10 8BW,False,False,2,1,38,4
07250140,ADINI DERMATOLOGY LIMITED,active,ltd,2010-05-11,,['86220'],BB7 9WB,False,False,4,4,43,2
07212681,33 BREAKSPEARS ROAD MANAGEMENT COMPANY LIMITED,active,ltd,2010-04-06,,['98000'],SE4 1XR,False,False,2,1,33,3
07254717,JACKSON SCULPTURE CONSERVATION LTD,active,ltd,2010-05-14,,['96090'],TW20 9HE,False,False,1,1,34,1
07247921,JSJTLJ 2017 LIMITED,active,ltd,2010-05-10,,['93199'],IP2 0EH,False,False,2,2,43,2
07232382,ALPHABETCLUB.COM LIMITED,active,ltd,2010-04-22,,['74100'],SY2 5LR,False,False,2,2,45,2
07181630,MTG FINANCIAL LIMITED,active,ltd,2010-03-08,,['62020'],RM6 4DE,False,False,1,1,44,1
07221916,ALIJOE SERVICES LTD,active,ltd,2010-04-13,,['45200'],RM8 1QH,False,False,1,1,37,3
07235724,FEDE SOLUTIONS LIMITED,active,ltd,2010-04-27,,['82990'],WD7 7AR,False,False,1,1,33,1
07244558,GLOBAL AIR COURIERS LTD,active,ltd,2010-05-06,,['52230'],E1 0SG,False,False,3,2,55,1
07246850,THE OLD CHAPEL BRENDON LIMITED,active,ltd,2010-05-07,,"['11010', '73120']",EX35 6PT,False,False,3,3,36,1
07205097,AQUASEES LIMITED,active,ltd,2010-03-26,,['96090'],SE9 3LH,False,False,1,1,48,1
07345087,JSE GROUNDWORKS LIMITED,active,ltd,2010-08-13,,['43390'],SN25 3DH,False,False,2,2,35,4
SC386288,MONEYTAGS LTD,active,ltd,2010-09-30,,['62012'],G83 7DB,False,False,1,1,44,1
07403165,MILL TRADING (MIDDLEWICH) LIMITED,active,ltd,2010-10-11,,['13300'],CW10 9HQ,False,False,5,5,43,4
07428337,SIRIUS FINANCIAL PLANNING LIMITED,active,ltd,2010-11-03,,['64999'],B77 5DE,False,False,2,2,36,4
07407310,OVERDALES LEGAL LIMITED,active,ltd,2010-10-14,,['64999'],LS15 8GH,False,False,15,2,113,0
07370319,THISTLE CONSTRUCTION (BURTON-ON-TRENT) LTD,active,ltd,2010-09-09,,['42990'],DE13 0NY,False,False,1,1,35,1
07343064,MILLGARTH LIMITED,active,ltd,2010-08-11,,['13100'],HD2 1DU,False,False,3,2,44,3
07254715,VENTRIX LIMITED,active,ltd,2010-05-14,,['82990'],N2 8EY,False,False,3,1,42,5
07226562,KIPPUN ASSOCIATES LIMITED,active,ltd,2010-04-17,,['70229'],SW19 7JL,False,False,3,1,43,3
07227170,ELITE WINDSCREENS & BODYGLASS LIMITED,active,ltd,2010-04-19,,['45310'],LS25 2DE,False,False,2,2,46,3
