company_number,n_filings_total,n_filings_year1
OC365830,44,2
OC365417,36,1
OC369045,32,1
OC368393,50,1
OC366442,40,2
OC370702,56,11
OC366256,135,0
OC366644,30,2
OC368252,32,1
OC368119,63,10
OC368118,65,10
OC371122,43,5
OC364569,34,2
OC362541,71,3
OC364138,32,2
OC369029,41,1
OC366482,43,1
OC365064,48,5
OC367847,43,5
OC369844,33,2
OC369666,51,2
OC363606,37,1
OC364537,64,5
OC366659,34,1
OC367986,42,1
OC369396,74,2
OC367619,37,2
OC369632,581,0
OC367337,33,2
OC366941,50,5
OC368295,45,2
OC366273,52,1
OC361050,35,2
OC366523,47,1
OC368106,53,9
OC367797,47,5
OC368227,72,4
OC367615,61,6
OC370968,37,8
OC367488,44,6
OC366461,59,11
OC367330,68,1
OC367636,41,2
OC365721,45,1
OC365809,56,1
OC369386,37,1
OC366900,62,1
OC368199,34,1
OC369477,39,3
OC370246,32,1
OC369435,38,2
OC361021,38,1
OC370126,56,1
OC368802,54,1
OC367647,51,2
OC367455,36,1
OC367883,46,6
OC367687,38,1
SO303453,46,5
OC371003,70,1
OC371111,53,1
OC367720,32,1
OC367593,49,6
OC369512,38,6
OC368111,59,2
OC370074,287,0
OC367750,50,10
OC369743,64,1
OC367511,38,7
OC363335,92,12
SO303212,37,1
OC362561,53,1
OC367661,47,1
NC000805,47,2
OC370726,69,5
OC367898,34,2
OC369387,40,1
OC367778,31,1
OC367151,45,2
OC369073,45,1
OC368348,38,3
OC367708,58,6
OC368645,38,5
OC363034,52,5
OC362549,36,5
OC368110,42,6
OC367841,49,2
OC362712,32,1
OC361326,47,5
OC367650,47,4
OC368087,35,4
OC363113,56,11
OC363382,65,1
OC366008,45,2
OC363348,51,2
OC370574,40,6
OC367568,38,3
OC368637,38,2
OC367806,88,5
OC368580,49,9
OC368352,42,5
OC368208,45,13
OC367980,45,8
OC368402,43,4
OC368116,37,4
OC361588,75,1
OC360654,56,1
SO303528,36,1
SO303529,54,6
OC368976,41,1
OC369350,66,2
