company_number,n_officers_total,n_officers_active
07409681,10,0
07420111,4,3
07206577,3,3
07206153,11,1
07214649,3,3
07125906,6,4
07127130,8,4
07128114,3,3
07120791,4,4
07120952,8,1
07123402,3,3
07127626,12,3
07130711,3,3
07130485,3,3
07139045,4,3
07147957,4,0
07153002,5,5
07157563,3,3
07163561,21,2
07162425,4,3
07165047,3,3
07165032,3,3
07171979,4,3
07179174,5,2
07197102,3,3
07208016,3,3
07210173,3,3
07210192,3,3
07219477,4,3
07219182,8,3
07228155,16,4
07231126,3,3
07231333,3,3
07246706,9,2
07242999,7,4
07247807,3,3
07248627,4,2
07248123,4,3
07256625,6,2
07258194,3,1
07267785,5,3
07270068,5,2
07270574,8,2
07274906,11,4
07281422,3,3
07284045,5,2
07283954,3,3
07287000,3,3
07303514,3,3
07310820,4,4
07325243,8,5
07339042,6,3
07340103,3,3
07344750,3,3
07342402,3,3
07358084,5,3
07364605,3,2
07368160,4,4
07374089,3,1
07374967,4,4
07373117,5,4
07379698,4,4
07385223,3,3
07396163,3,3
07395150,7,3
07407655,9,1
07407712,8,3
07414572,3,1
07409718,4,4
07419921,3,3
07425466,4,3
07426969,3,3
07434491,4,3
07437155,7,4
07436711,4,2
07440338,3,2
07458695,3,3
07457587,4,4
07460093,3,3
07473233,4,1
07475594,6,3
07475681,3,3
07477757,6,4
07428692,5,2
07433020,3,0
07439786,3,3
07454435,4,4
07466426,7,2
07475610,5,3
07475346,5,1
07479048,3,3
07243884,4,4
07258083,4,4
07260804,3,3
07287461,3,3
07288390,3,2
07292131,3,1
07297661,3,3
07869057,2,1
NI607349,2,1
07628847,1,1
07757509,1,1
07728424,2,2
07634734,3,3
07624429,2,1
07871912,2,2
07860086,4,1
07843748,2,1
07587317,4,2
07621277,1,1
07539006,2,1
07795851,2,1
07703631,1,1
SC412238,1,1
07839224,7,3
07533593,6,1
SC407447,3,1
07580786,1,1
SC396770,2,2
07749163,4,1
07701119,2,2
07733462,1,1
07782383,2,1
07628156,1,1
07674197,4,1
07610775,2,2
07871594,4,2
07606509,3,1
07870180,2,2
07749763,2,2
07621006,4,2
07632253,4,3
07540939,2,1
07890616,2,2
07620935,2,2
07628820,8,2
SC401104,2,2
07753010,5,1
07701975,8,2
07576282,5,1
07879966,3,1
SC399492,2,1
07763516,5,2
07809514,3,2
07702906,7,3
07718145,2,2
07485701,7,2
07616911,1,1
07634072,1,1
07546402,1,1
07584520,1,1
07537750,2,2
07867026,1,1
07625614,2,2
07555838,4,1
07635808,27,2
07643049,2,1
NI610474,4,1
07619667,2,1
07632991,1,1
07693598,4,3
NI606783,2,2
07785431,1,1
07584963,3,2
07846794,2,1
07625310,2,2
07841146,2,1
07632651,2,1
SC399188,1,1
07844088,3,3
07844079,3,3
07617184,2,2
07576237,1,1
07737635,8,2
07646393,2,2
07621990,2,1
07618602,1,1
07508182,10,1
07567426,2,2
07774158,3,2
07809985,3,1
07623492,7,3
07697457,3,3
07621091,3,1
NI607188,4,3
07611198,1,1
07610636,3,3
07773730,1,1
07626850,3,3
07604860,2,1
07641854,4,4
07600976,4,2
07635671,2,1
07721213,1,1
07599942,1,1
07635997,3,3
07587606,13,4
07634747,2,2
07584441,2,2
07628201,1,1
07640478,9,4
07588846,3,3
07881450,1,1
07619096,2,2
07712774,1,1
07653310,3,1
07699518,1,1
07733893,4,3
07621425,2,1
07636112,1,1
07617394,2,2
07636388,6,4
07605460,1,1
07755969,2,2
07875489,1,1
07740970,2,2
07631112,2,1
07594961,3,2
07728572,4,2
07641361,23,11
07620703,2,2
07493170,1,1
07525936,3,1
07759587,2,2
07640067,4,2
07535892,1,1
07640349,2,2
07600613,3,1
07564414,2,2
07639529,3,3
07551648,1,1
07653611,1,1
07552091,2,1
07505994,3,1
07511417,6,3
07687032,9,3
07713536,2,1
07731057,2,1
07580103,4,1
07884200,2,1
07686452,5,1
07740703,2,1
07573769,3,1
07560649,2,1
07492411,1,1
07633718,3,1
07542311,3,2
07628736,1,1
07747536,3,2
07609853,6,2
07565726,1,1
07766255,1,1
07826206,6,2
07614480,2,1
07604795,3,2
07757713,2,2
07611254,1,1
07726862,7,1
07788608,20,9
07779115,3,1
07832068,3,1
07737296,2,2
07628668,2,1
07747307,2,1
SC401988,8,2
07531143,1,1
07646051,1,1
07588032,1,1
07604309,2,1
07613311,2,1
07521071,3,0
07569077,1,1
07663464,3,1
07556925,1,1
07687315,10,1
07662314,1,1
07555642,1,1
07549153,4,2
07876153,1,1
07574519,6,1
07570964,1,1
07660965,7,5
07657641,3,1
07617866,3,1
07784802,2,1
07641697,4,3
07640592,2,2
07622429,3,3
07633338,2,1
07633595,3,1
07497996,1,1
07760945,6,5
07640919,14,4
07639192,1,1
07640378,2,1
07667676,3,2
07701226,8,1
07843144,3,1
OC370495,4,3
OC367738,3,2
OC363775,2,2
OC366204,4,2
OC365611,4,2
OC365858,5,5
OC368790,5,2
OC366317,3,2
OC360863,4,3
OC365659,6,2
OC365370,2,2
OC369923,9,3
OC368642,2,2
OC365830,2,2
OC365417,3,2
OC369045,3,2
OC368393,4,2
OC366442,2,2
OC370702,6,4
OC366256,27,2
OC366644,8,8
OC368252,2,2
OC368119,10,2
OC368118,10,2
OC371122,3,2
OC364569,4,2
OC362541,14,4
OC364138,2,2
OC369029,3,2
OC366482,3,2
OC365064,9,6
OC367847,4,2
OC369844,2,2
OC369666,7,2
OC363606,4,2
OC364537,11,6
OC366659,3,3
OC367986,8,4
OC369396,21,17
OC367619,3,2
OC369632,200,35
OC367337,4,2
OC366941,8,2
OC368295,4,3
OC366273,2,2
OC361050,2,2
OC366523,4,3
OC368106,6,4
OC367797,6,3
OC368227,11,5
OC367615,6,4
OC370968,3,3
OC367488,5,2
OC366461,6,4
OC367330,15,4
OC367636,4,3
OC365721,3,1
OC365809,8,5
OC369386,3,3
OC366900,10,2
OC368199,2,2
OC369477,3,2
OC370246,3,2
OC369435,5,4
OC361021,3,2
OC370126,6,4
OC368802,9,3
OC367647,12,10
OC367455,3,2
OC367883,2,2
OC367687,2,2
SO303453,3,2
OC371003,23,11
OC371111,6,4
OC367720,2,2
OC367593,8,4
OC369512,5,2
OC368111,5,3
OC370074,48,5
OC367750,6,4
OC369743,13,3
OC367511,6,6
OC363335,15,1
SO303212,2,2
OC362561,2,2
OC367661,2,2
NC000805,6,4
OC370726,10,6
OC367898,2,2
OC369387,2,2
OC367778,2,2
OC367151,3,3
OC369073,3,2
OC368348,2,2
OC367708,14,8
OC368645,2,2
OC363034,3,2
OC362549,4,3
OC368110,4,2
OC367841,2,2
OC362712,2,2
OC361326,6,2
OC367650,3,2
OC368087,4,2
OC363113,5,3
OC363382,14,2
OC366008,3,2
OC363348,12,12
OC370574,4,2
OC367568,3,2
OC368637,4,2
OC367806,16,3
OC368580,5,2
OC368352,2,2
OC368208,4,4
OC367980,7,5
OC368402,2,2
OC368116,3,2
OC361588,12,2
OC360654,8,2
SO303528,3,3
SO303529,7,6
OC368976,2,2
OC369350,7,2
OC369103,4,2
OC371030,2,2
OC363851,8,2
SO303440,6,5
OC364013,6,3
OC369263,5,5
OC362639,3,2
OC370744,4,2
OC370279,3,2
OC369637,4,2
OC368762,4,2
OC366648,3,2
OC366862,4,4
OC366896,2,2
OC366408,3,2
OC368843,373,2
OC366845,4,4
OC369094,7,3
OC366732,2,2
OC366369,4,3
OC366216,2,2
OC364091,12,3
OC367082,3,3
OC362624,5,4
OC367603,5,0
OC366999,2,2
OC366887,4,3
OC364628,2,2
OC369355,2,2
OC369340,3,2
OC366966,4,4
OC367233,3,2
OC367081,2,2
OC364037,4,3
OC366991,3,2
OC361169,104,8
OC366243,5,2
OC367250,5,5
OC366323,3,3
OC366414,2,2
OC370818,5,4
OC370602,2,2
OC362437,4,4
OC365420,4,4
OC367075,2,2
NC000749,4,2
NC000750,2,2
OC365819,3,2
OC365982,5,2
SO303405,2,2
OC366026,4,2
OC365777,2,2
OC365315,10,6
OC367500,7,4
OC368411,2,2
OC365949,8,8
OC369236,2,2
OC367399,6,4
SO303547,2,2
OC369486,24,2
OC365886,3,2
OC367617,2,2
OC368170,3,2
OC363204,4,3
OC369492,2,2
OC370766,8,2
OC369676,2,2
OC362882,2,2
OC370981,2,2
OC369142,16,2
OC369806,6,2
OC363494,2,2
OC368504,3,2
OC364593,15,5
SO303685,5,3
OC368595,4,2
NI608105,2,1
NI608945,1,1
NI608072,1,1
NI608916,3,2
NI609273,2,2
NI609388,3,3
NI610084,1,1
NI607985,5,1
NI610326,4,2
NI609984,2,2
NI610357,2,2
NI610394,2,1
NI610128,2,1
NI606625,1,1
NI610325,4,3
NI610491,4,4
NI608417,2,2
NI609985,1,1
NI610419,2,2
NI610482,2,2
NI608081,3,1
NI610476,1,1
NI607910,2,1
NI609562,4,4
NI608760,1,1
NI609278,1,1
NI609855,3,1
NI609920,5,1
NI609502,1,0
NI610031,1,1
NI609560,3,2
NI609580,2,2
NI609601,2,2
NI608209,1,1
NI609272,2,2
NI609938,2,2
NI609980,1,1
NI610089,1,1
NI610009,4,2
NI609415,4,2
NI610123,5,1
NI610265,2,2
NI609573,1,1
NI609081,2,2
NI609882,5,1
NI609970,3,2
NI610029,5,3
NI607995,1,1
NI608180,1,1
NI608909,2,1
NI610006,3,2
NI610438,1,1
NI609904,1,1
NI609963,2,1
NI608962,2,2
NI609022,2,1
NI610083,4,1
NI609851,2,2
NI609151,1,1
NI608903,4,1
NI609965,8,2
NI610334,1,1
NI610439,1,1
NI610459,1,1
NI609013,1,1
NI609193,6,3
NI609786,3,3
NI609619,1,1
NI609705,2,2
NI609662,1,1
NI610512,2,2
NI609728,2,1
NI609587,2,2
NI609596,1,1
NI609709,14,6
NI609482,2,1
NI609775,1,1
NI609798,3,3
NI610130,3,2
NI610065,1,1
NI610042,3,2
NI610146,1,1
NI610211,3,3
NI610063,2,1
NI608151,1,1
NI610484,1,1
NI608440,1,1
NI608532,1,1
NI609554,3,2
NI608475,2,2
NI608536,1,1
NI608576,1,1
NI609096,3,3
NI609168,1,1
NI609187,2,2
NI609627,1,1
NI609113,3,1
NI608669,3,2
NI608521,1,1
NI608743,1,1
NI608840,4,3
NI608969,3,3
NI608570,1,1
NI608579,5,2
NI609615,2,1
NI609674,6,2
NI609841,2,2
NI609928,3,1
NI609943,1,1
NI609489,1,1
NI609810,2,2
NI609536,2,1
NI609847,2,2
NI609599,5,3
NI609814,2,2
NI609485,3,1
NI609815,1,1
NI609944,1,1
NI609547,5,1
NI609731,1,1
NI609484,2,1
NI609618,1,0
NI609769,2,2
NI608586,1,1
NI610162,1,1
NI609921,4,1
NI609933,1,1
NI608938,1,1
NI609020,1,1
NI608653,1,1
NI610270,2,1
NI609899,3,2
NI609289,3,3
NI608671,2,2
NI609205,1,1
NI609102,1,1
NI608751,4,4
NI609994,3,3
NI610437,1,1
NI610451,1,1
NI609019,1,1
NI609160,1,1
NI610499,1,1
NI610341,2,2
NI609111,2,2
NI610044,1,1
NI609907,2,1
NI609912,1,1
NI610168,1,1
NI610017,2,1
NI610352,2,1
NI610226,3,1
NI610275,1,1
NI610346,2,2
NI610282,5,1
07481542,3,3
07481192,2,1
07481275,3,3
07481458,1,1
07481260,2,2
07481196,3,1
07481184,3,0
07481206,3,3
07481208,1,1
07481325,3,1
07482189,3,3
07482220,2,2
07482359,3,1
07481394,3,0
07482140,2,2
07482262,1,1
07481295,1,1
07481980,1,1
07481421,2,2
07481612,2,1
07481290,2,2
07481652,5,1
07481150,1,1
07481297,1,1
07481210,2,2
07481229,1,1
07482357,1,1
07481301,2,1
07482206,1,1
07481271,2,1
07481871,5,4
07481888,2,1
07481112,1,1
07480820,2,2
07480898,3,3
07481448,2,2
07482200,4,1
07481233,2,2
07481848,1,1
07482370,1,1
07482252,2,2
07482718,2,2
07480742,1,1
07481485,3,3
07481719,3,1
OC362452,2,2
OC362529,4,2
OC360715,4,3
OC362130,2,2
OC362135,2,2
OC360856,2,2
OC360608,2,2
OC360987,2,2
OC360778,3,3
OC363746,2,2
OC360718,4,2
OC360753,2,2
OC362904,5,4
OC360748,2,0
OC361288,2,2
OC361614,4,2
OC362683,3,3
OC363509,4,2
OC360571,2,2
OC360732,4,2
OC361045,2,2
OC361174,3,1
OC362830,2,2
OC362879,2,2
OC360751,2,2
OC360979,2,2
OC360565,2,1
OC360735,2,2
OC360801,2,2
OC361272,4,2
OC361284,5,1
OC362821,2,2
OC360569,5,2
OC360611,2,2
OC360758,2,2
OC361618,2,2
