company_number,name,role,nationality
04681453,"COPAS, Zoe Claire",director,British
04681453,"SCOTT, Aaron Vaughan",director,British
04681453,"FILLMORE, Timothy Millard",secretary,British
04681453,"AGG, Charles Simon James",director,British
04681453,"ATKINS, Michael Paul Nicholas",director,British
04681453,"BAILEY, Brian Harrison",director,British
04681453,"BERRIDGE, Robert Charles",director,British
04681453,"CHESTER, Richard",director,British
04681453,"CLEVELY, Rupert John",director,British
04681453,"CRISP, Trevor Paul",director,British
04681453,"GRAHAM, James Alexander",director,British
04681453,"HOOD, Derek Thomas",director,British
04681453,"JAINES, Nigel Justin Hall",director,British
04681453,"JAMES, Nigel Justin Hall",director,British
04681453,"JAMES, Nigel Justin Hall",director,British
04681453,"JANKOWSKI, Michael Harold",director,American
04681453,"LAW, Donald",director,British
04681453,"LAW, Donald",director,British
04681453,"MCKAY, Duncan Stewart",director,British
04681453,"MERCER, David John Paul",director,British
04681453,"MILES, Donald Richard Leslie",director,British
04681453,"ODDIE, Richard George Muir",director,British
04681453,"PEARMAN, Henry James",director,British
04681453,"PEARSON, Gary Werner",director,British
04681453,"PEARSON, John Andrew",director,British
04681453,"RANDALL, Christopher Nicholas",director,British
04681453,"STOTT, Philip Andrew",director,British
14353382,"SMILES, Robert",director,British
15724610,"TOY, Gary",director,English
16642815,"DOGRAMACI, Mehmet",director,Belgian
16642858,"DOGRAMACI, Mehmet",director,Belgian
15328490,"SAUNDERS, Jonathan",director,British
13034110,"IKONG, Pierre",director,Cameroonian
07549419,"WATSON, Kelly Frances",director,British
07549419,"ARNONE, Marco",director,British
07549419,"ARNONE, Mel Pietro",director,British
07549419,"DAVIS, Michelle",director,British
07549419,"PAPAPHILIPPOU, Nicholas",director,British
01022034,"DEARMAN, Carole",secretary,British
01022034,"CLARK, Amanda",director,British
01022034,"DEARMAN, Wayne",director,British
01022034,"DEARMAN, Carole",director,British
01022034,"DEARMAN, Mervyn Percival Bruce",director,British
11297453,"VALINCIUC, Stefan",director,Romanian
11297453,"TURCUS, Attila",director,Romanian
15892008,"RADU, Neculai Ionut",director,Romanian
11958732,"SINGH, Bagga",director,Indian
11016820,"SINGH, Jiwanpreet",director,Indian
11016820,"SINGH, Mandeep",director,Indian
16193726,"GILLANI, Syed Omer Hussain",director,English
SC378419,"MANSON, Alison",director,British
SC378419,COSEC LIMITED,corporate-secretary,
SC378419,"MCMEEKIN, James Stuart",director,Scottish
SC378419,COSEC LIMITED,corporate-director,
17089905,"VUKADINOVA, Aglika Hristova",director,Bulgarian
12021043,"MCDONALD, Derek",director,British
SC352280,"KERR, Russel",director,British
SC352280,"MORTON, Alan William",director,British
SC352280,BRIAN REID LTD.,corporate-secretary,
SC352280,"MABBOTT, Stephen George",director,British
12928295,ADVANCIN 2 LTD,corporate-director,
12928295,"KATHBAN KASEM, Ayad",director,Swedish
12928295,"ZWANI, Sabah Mahmoud",director,British
15282552,"SMITH, Jack",director,British
07084345,"COOPER, Alan",director,British
07084345,"COOPER, Christopher Robin",secretary,
07084345,"COOPER, Christopher Robin",director,British
11127087,"CUNNINGHAM, John James",director,British
11127087,"TAFT, Patrick David",director,British
11127087,"TARTT, James David",director,British
10658157,"JARMAN, Natasha",director,British
10658157,"SANDI, Robert James",director,British
10658157,"BLANCO, Benito",director,Spanish
10658157,"DIER, Louise",director,British
10658157,"MACDONALD, Alasdair",director,British
10658157,"MILLER, Harriet Ellen",director,"British,Australian"
12792319,"CUNINGHAM, John James",director,British
12792319,"HAKIM, Imran",director,British
12792319,"TAFT, Patrick David",director,British
12792319,"TARTT, James David",director,British
11612954,"GILBERT, Greig Alexander",director,British
11612954,"GILBERT, Scott Robert",director,British
15254987,"BHARDWAJ, Vinod Kumar",director,British
15254987,"PRITCHARD, Stephen John",director,British
16272736,"GARKUSHA, Vyacheslav",director,Ukrainian
15639618,"DURRANT, Alexander James Bradley",director,British
15639618,"MORDECAI, Jason Paul",director,British
15639618,"OWENS, Nicholas Michael Lee",director,British
15635516,"FRY, Dwain",director,British
05602909,"PAYNE, Christopher James",secretary,
05602909,"PAYNE, Christopher James",director,British
05602909,"SMITH, Stephen",director,British
05602909,"HERRMANN, David",secretary,Other
05602909,"JOHNSTON, Graham Hamilton",secretary,
05602909,"TIPPETTS, Susan",secretary,
05602909,JORDAN COMPANY SECRETARIES LIMITED,corporate-secretary,
05602909,SWIFT INCORPORATIONS LIMITED,corporate-nominee-secretary,
05602909,"BARBER, Keith John",director,British
05602909,"BEAVEN, Richard Labassee",director,English
05602909,"BENCE, Russell James",director,British
05602909,"BRITTAIN, Michael Richard",director,British
05602909,"CHASE GARDENER, Paul Simon",director,British
05602909,"CLIFF, Mark",director,British
05602909,"FAIRHURST, James Richard",director,British
05602909,"GANNON, John William",director,British
05602909,"HENRY, John Derek",director,British
05602909,"HOLMAN, Martyn John",director,British
05602909,"MCCAFFERTY, Brendan Eamon",director,British
05602909,"O'CONNOR, Desmond Joseph",director,British
05602909,"SLADE, William James",director,British
05602909,"SUTHERLAND, Ian Ronald",director,British
05602909,"SWEENEY, David Keith",director,British
05602909,"WALLIN, Andrew David",director,British
05602909,"WILLIAMS, Paul Michael, Mr.",director,British
07366585,"SEARLE, David Mark",director,British
14446218,"OZDEMIR GUNBEY, Gokce",director,Turkish
11485731,"HOLT, Michael Anthony",director,British
11485731,"HOLT, Gillian",director,British
15523266,"FARRELL, John Andrew",director,British
09012898,"MAY, Adam",director,British
09012898,"MAY, George Felix",director,British
09012898,"BHARDWAJ, Ashok Kumar",director,British
03144261,"MASON, Zelda Eloise",secretary,British
03144261,"STONE, Beverley Rose",director,British
03144261,"STONE, Rebecca Esther",director,British
09038140,"GORDON, Kurt",director,Jamaican
09038140,"STEWART, Ellsworth Hugh",director,British
09038140,"WADE, Roy",director,Jamaican
13466659,"MCCREADY, Paul",director,British
13466659,"BENNION, Carl",director,British
10416481,"COOKSLEY, Andrew Martyn",director,British
10416481,"COOKSLEY, Caroline Breen",director,British
10416481,"DARWIN, Bethan Sara",director,Welsh
10416481,"DAVIES, Stephen",director,British
10416481,"FURLONG, Cerys Irene",director,Welsh
10416481,"HOLMES, Joseph Francis",director,British
10416481,"IORWERTH, Llinos",director,Welsh
10416481,"PROBERT, Andrew Charles",director,British
10416481,"ROSSER, Andrew Phillip",director,British
16007714,"WENTWORTH, Justyna",secretary,
16007714,"KRAMER, Todd William",director,British
13871022,"WENTWORTH, Justyna",secretary,
13871022,"KRAMER, Todd William",director,British
16027778,"VERSTEEG, Martijn",director,Dutch
16027778,GROUP EFFORT B.V.,corporate-director,
16538492,"ARYAL, Pankaj",director,British
16538492,"BHANDARI, Barun",director,British
16538492,"PARAJULI, Lekhanath",director,Nepalese
15291264,"ILES, Dean",director,British
16784459,"MUKAI NICHOLSON, Erika",director,Brazilian
16784459,"SOON, Philip",director,British
16784459,"SPROWELL, Andrew Alan",director,British
16106464,"COUGILL, Stacey",director,British
16106464,"HOCKNELL, Christopher David",director,British
NI695866,"VISSER, Jurgen Sigismudo",director,Portuguese
12875782,"FAIRCLOUGH, Emma Louise",director,British
10211714,"MOORE, Michael Kevin",director,Canadian
10188246,"SANCHEZ, Jose Hugo",director,Citizen Of The Dominican Republic
10188246,GA SECRETARIAL SERVICE LIMITED,corporate-secretary,
10188246,"HAHN, Christian",director,German
10188246,"KRAUSS, Max",director,Citizen Of The Dominican Republic
15604941,"HOXHOLLI, Dejvi",director,Albanian
SC352278,"KERR, Russel",director,British
SC352278,"MORTON, Alan William",director,British
SC352278,BRIAN REID LTD.,corporate-secretary,
SC352278,"MABBOTT, Stephen George",director,British
12618329,"RAHANTARISOA, Modestine",director,Malagasy
12618329,"TOSUN, Fabrice",director,French
14407132,"KILCOMMONS, Laurence Stephen",director,Irish
14407132,"KILCOMMONS, Michelle Mei",director,British
13298602,"SZEKELY, Jozsef",director,Hungarian
16538460,"WEBB, Adam Thomas",director,British
SC694334,"DUMENIL, Timothy Paul",director,British
14975070,"SMITH, Dale Christian",director,British
14975070,"WADE, Oliver",director,English
12614623,"SINGH, Baljeet",director,British
12614623,"MUSSETT, Gordon",director,British
10471496,"WACHS, Itzchak Meir",director,British
10588069,"NEGOITA, Dragos Beniamin",secretary,
10588069,"NEGOITA, Adriana Ligia",director,Romanian
10588069,"NEGOITA, Dragos Beniamin",director,Romanian
10588069,"NEGOITA, Adriana Ligia",director,Romanian
11064579,"WILLIAMS, Barry Simon",director,British
11064579,"WILLIAMS, Rebecca Kate",director,British
16926856,"WILLIAMS, Barry Simon",director,British
02067806,"FINLASON, Brenda May",secretary,British
02067806,"FINLASON, Brenda May",director,British
02067806,"FINLASON, Cyril Anthony",director,British
17028194,"SMITH, Christopher",director,British
07235284,"HACKETT, Christopher James",director,British
07235284,"HOWARD, Sarah Jane",director,British
01677389,"SWARATMIKA, Swaratmika",secretary,
01677389,"SCANLON, John James, Mr.",director,Irish
01677389,"THORN, Christopher Derrick",director,British
01677389,"COOPER, Elizabeth Jayne Clare",secretary,British
01677389,"FERGUSSON, Peter",secretary,British
01677389,"JONES, Graham Becket",secretary,British
01677389,"KNIGHT, Joan",secretary,British
01677389,"MURRAY, David Eugene",secretary,British
01677389,"BRYAN, Frederick James",director,British
01677389,"CASIER, Philippe",director,Belgian
01677389,"CATLIN, Pierre",director,French
01677389,"CHAPRON, Christophe Andre Bernard",director,French
01677389,"DUVAL, Florent Thierry  Antoine",director,French
01677389,"GOODFELLOW, Ian Frederick",director,British
01677389,"GORDON, Marek Robert",director,British
01677389,"JONES, Graham Becket",director,British
01677389,"MEYER, Francis",director,French
01677389,"MURRAY, David Eugene",director,British
01677389,"PALMER-JONES, David Courtenay",director,British
01677389,"REYMANN, Jacques Andre",director,Belgian
01677389,"ROLIN, Albert Jules Ghislain Marie",director,Belgian
01677389,"SEXTON, Ian Anthony",director,British
01677389,"WEYNS, Guido Lodewijk",director,Belgian
01677389,"WHEATLEY, Robert James",director,British
13854255,"COLLIS, Agnieszka Krystyna",director,Polish
13854255,"COLLIS, Matthew Glyn",director,British
13483805,"LAX, Sholem",director,Canadian
15674081,"BLASI, Francesco",director,Italian
06150117,"CAUNCE, Robin Alan",director,British
06150117,"HOLBROOK-CAUNCE, Aimee Louise",director,British
06150117,"ROCHE, Nikki",secretary,British
06150117,"CAUNCE, Robin Alan",director,British
06150117,"ROCHE, Barrie James",director,British
06150117,"ROCHE, Barrie James",director,British
06150117,"ROCHE, Nikki",director,British
05993875,"BUSH, Ian Michael",director,British
05993875,"GIBSON, Jeremy Paul",director,British
05993875,"PRAKASH, Mayank",director,British
05993875,"BUSH, Ian",secretary,
05993875,"COVERDALE, Carole",secretary,British
05993875,"FITZGERALD, Sapna Bedi",secretary,
05993875,"BISSET, Peter",director,British
05993875,"BUCK, Helen Elizabeth",director,British
05993875,"COVERDALE, Carole",director,British
05993875,"DEEKS, Andrew William",director,British
05993875,"EMBLEY, Simon David",director,British
05993875,"GILL, Adrian Stuart",director,British
05993875,"MASTON, Paul Russell",director,British
05993875,"MCAULEY, James Charles",director,British
05993875,"PARTRIDGE, Stephen James",director,British
05993875,"ROUND, Jonathan Pearson",director,British
15151229,"PARKINSON, Christopher",director,British
05739246,"WHITTAKER, Toby Scott",director,British
05739246,"BUJAKOWSKI, Peter Jan",secretary,British
05739246,"GAHAN, Richard John",secretary,
05739246,"TURNER, John Michael",secretary,British
05739246,"WHITTAKER, Jennifer",secretary,British
05739246,"PARKINSON, Christopher",director,British
05739246,"PICKERING, Claire",director,British
05739246,"SLATER, John",director,British
09928641,"TURNER, Ashton James Colin",director,British
09928641,"ARNOT, David Kennedy",director,British
09928641,"DOLAN, Thomas Howard",director,British
09928641,REDFIRE INVESTMENTS LTD,corporate-director,
01855441,"CLACHER, Anthony John",director,South African
01855441,"MUHAMMAD, Shameer Shaik Daud",director,Mauritian
01855441,"NAMDARKHAN, Mubeen Ahmad",director,Mauritian
01855441,"ARNESTEAD, Richard Gerald Leif",secretary,British
01855441,"BECKER, Celia",secretary,South African
01855441,"KOTZEE, Theunis Johannes",secretary,South African
01855441,"O'FLAHERTY, Paul Sean",secretary,South African
01855441,"TURNER, Howard Charles",secretary,South African
01855441,"ARLOVE, Jean Maurice Richard",director,Mauritian
01855441,"BALLENTINE, Robin James Norman",director,South African
01855441,"BANTON, John Harold",director,British
01855441,"BATOOSAM, Rishikesh",director,Mauritian
01855441,"BECKER, Celia",director,South African
01855441,"BEETHUE, Vassudha Devi",director,Mauritian
01855441,"CHETTY, Venkatesen Saminada",director,Mauritian
01855441,"DE LESTRAC, Jean Claude Gervais Raoul",director,Mauritian
01855441,"FOURIE, Michiel Philippus Willem",director,South African
01855441,"GUPTA, Amit",director,Indian
01855441,"HODGE, Vivian Paul",director,British
01855441,"HOWES, Cornelius",director,Sa Citizen
01855441,"KEENAN, Peter Gert",director,South African
01855441,"KOTZEE, Theunis Johannes",director,South African
01855441,"LAWSON, Michael David",director,South African
01855441,"LOMAS, Michael Harry",director,British
01855441,"LYON, David Antony",director,British
01855441,"MOTTRAM, Guy Douglas",director,South African
01855441,"O'FLAHERTY, Paul Sean",director,South African
01855441,"PRIEST, David Robin",director,British
01855441,"TANEE, Rishal",director,Mauritian
01855441,"TANEE, Rishal",director,Mauritian
01855441,"TEIXEIRA, Cristina Maria Freitas",director,South African
01855441,"TOMPKINS, Richard John",director,British
01855441,"TURNER, Howard Charles",director,South African
01855441,"UPTON, Michael Robert",director,South African
01855441,"VAN RENSBURG, Carel Martin Janse",director,South African
01855441,"VEMER, Eric Casper John",director,South African
01855441,"VENTER, Frederick",director,Sa Citizen
01855441,"WILLMOTT, John Vincent",director,South African
16064516,"POWELL, Stephen",director,British
12973733,"DUANDA, Muhammed",director,British
12973733,"KHAN, Lamin",director,British
12973733,"GINGALLY, Ebrima",director,British
12973733,"JATTA, Essa",director,British
12973733,"SALLAH, Modou",director,British
06900542,D R SEFTON & CO (SECRETARIAL) LIMITED,corporate-secretary,
06900542,"RAHMAN, Aklakur",director,British
16583726,"AL-KAZEMI, Ali Monther Numan",director,British
01102946,"GARDINER, Peter Giles",secretary,British
01102946,"BUSH, David Graham",director,British
01102946,"ENDACOTT, Paul Dugald",director,British
01102946,"ENDACOTT, William",director,British
01102946,"GARDINER, Benjamin James",director,British
01102946,"GARDINER, James Richard Peter",director,British
01102946,"GARDINER, Peter Giles",director,British
01102946,"GARDINER, Richard Jolyon",director,British
01102946,"HOLLOWAY, Mark Douglas",director,British
01102946,"KAPOOR, Asheesh Kumar",director,British
01102946,"LAWRENCE, Sophie",director,British
01102946,"LUCK, Anna Sarah",director,British
01102946,"ROBINSON, Sam Alexander",director,British
01102946,"TROBE, Matthew John Ivan",director,British
01102946,"WALDRON, David Ansell",director,British
01102946,"WALDRON, John Murray",director,British
01102946,"WALDRON, Luke Thomas",director,British
01102946,"WALDRON, Nicholas Murray",director,British
01102946,"WHEELER, Paul Jonathan",director,British
01102946,"BUSH, David Graham",director,British
01102946,"CRITCHELL, Anita",director,British
01102946,"DAVIES, Royston Brian",director,British
01102946,"GARDINER, Clare Judy",director,British
01102946,"HILLMAN, William Edward",director,British
01102946,"HOLLIDGE, Robert Keith",director,British
01102946,"HOLLIDGE, Robert Keith",director,British
01102946,"MILLER, Maureen",director,British
01102946,"ROBINSON, Clive Ardern Cooper",director,British
01102946,"ROBINSON, Eric",director,British
01102946,"ROBINSON, Guy Christopher",director,British
01102946,"TUTTE, Keith Harold",director,British
01102946,"TUTTE, Steven Mark",director,British
01102946,"UNDERWOOD, Richard Henry",director,British
01102946,"WALDRON, David Ansell",director,British
01102946,"WALDRON, John Murray",director,British
01102946,"WALDRON, Murray Oliver",director,British
11602295,"CHAKONA, Charles",director,English
17056836,"AL-KAZEMI, Ali Monther Numan",director,British
03227742,"HOWES, Peter",secretary,British
03227742,"HOWES, Peter",director,British
03227742,"SHIPMAN, Alan",director,British
03227742,FNCS SECRETARIES LIMITED,corporate-nominee-secretary,
03227742,"SMITH, Malcolm Glenville",director,British
03227742,FNCS LIMITED,corporate-nominee-director,
06982026,D R SEFTON & CO (SECRETARIAL) LIMITED,corporate-secretary,
06982026,"MIAH, Shetu",director,British
06733712,"ARAN, Sinan Nazif, Dr",director,Turkish
06733712,"DEMIROGLU, Deniz",director,German
06733712,"SMALLBONE, Lindsay",secretary,British
06733712,"ASHMAN, Sedef Berat",director,British
06733712,"DEMIROGLU, Deniz",director,Turkish
06733712,"DEMIROGLU, Ibrahim, Dr",director,Turkish
06733712,"DEMIROGLU, Ibrahim Celalettin Cemsid, Prof., Mr.",director,Turkish
03473315,"PHILLIPS, Jonathan Maxwell",secretary,British
03473315,"PHILLIPS, Jonathan Maxwell",director,British
03473315,"PHILLIPS, Rachel Elizabeth",director,British
OC369558,"PATEL, Sandeep Askok",llp-designated-member,
OC369558,"REDDY, Raghu Ramakrishna, Dr",llp-designated-member,
10364687,"GIURGIU, Gheorghe Marian",director,Romanian
04149246,"PEEK, Leanna",secretary,
04149246,"ALMEIDA, Ashley",director,British
04149246,"EDGER, Andrew",director,British
04149246,"FAIL, Morgan Ashley",director,British
04149246,"HIBBINS, Ashleigh Elizabeth",director,British
04149246,"HILL, Laura",director,British
04149246,"HUNTE, Shereen",director,British
04149246,"JEENS, Frances Madeleine",director,British
04149246,"MARCUS, Caroline Heather",director,British
04149246,"MOLSON, Karin Elaine",director,British
04149246,"PEARCE, Benjamin James",director,British
04149246,"ROSE, Melany",director,British
04149246,"GISBY, Claire Louise",secretary,
04149246,"RIDGWAY, Zoe",secretary,
04149246,"STEVENSON, John Benjamin, Dr",secretary,British
04149246,"ALLEN, Stephen Charles",director,British
04149246,"ARCHER, Katy",director,British
04149246,"ASHTON, Lynne",director,British
04149246,"BAINBRIDGE, John",director,British
04149246,"BATCHELOR, Susan Mary",director,British
04149246,"BLAY, Jennifer Louise",director,British
04149246,"BOND, Geoffrey Charles",director,British
04149246,"BRUCE, Richard Alfred Reginald",director,British
04149246,"BURFORD, Bruce Warren",director,British
04149246,"BUTLER, James Thomas",director,British
04149246,"CAIRNS, Samantha Emma",director,British
04149246,"CARNE, Peter Douglas",director,British
04149246,"CLUTTERBUCK, Robin Jocelyn",director,British
04149246,"COWIE, Sarah Pauline",director,British
04149246,"GILES, Alison Ruth",director,British
04149246,"GODDARD, Jocelyn Elizabeth Holtby",director,British
04149246,"GODDARD, Sharon Anne, Dr",director,British
04149246,"HALBERTSMA, Nicolaas George",director,Dutch
04149246,"HAVARD, Essex Llewellyn",director,British
04149246,"HAVARD, Essex Llewellyn",director,"Welsh,British"
04149246,"HEYWOOD, Samantha Louise",director,British
04149246,"HOLME, Jennifer Anne",director,British
04149246,"KENNEDY, Anra",director,Irish
04149246,"KING, Emma Louise",director,British
04149246,"LEACH, Emily Eileen",director,British
04149246,"MACEY, Mark Paul",director,British
04149246,"MANION, Stephen",director,British
04149246,"MILLWARD, Lynette Madeleine",director,British
04149246,"MOHAMMED, Islam Anwar",director,British
04149246,"MOHAMMED, Islam",director,British
04149246,"MOORE, Kathryn Ann",director,British
04149246,"MOSLEY, David",director,British
04149246,"POPE, Susan Elizabeth",director,British
04149246,"REEVE, John Frederick",director,British
04149246,"SINCLAIR, Helen Margaret, Dr",director,British
04149246,"STANCLIFFE, Sandra",director,British
04149246,"STEVENSON, John Benjamin, Dr",director,British
04149246,"STEVENSON, John Benjamin, Dr",director,British
04149246,"SWEETAPPLE, Hannah Elisabeth",director,"Welsh,British"
04149246,"TEASDALE, Karen Lesley",director,British
04149246,"THOMAS, Rhian",director,British
04149246,"WINTERBOTHAM, David Nicholas, Doctor",director,British
04149246,"WOODALL, Alexandra Caroline",director,British
04149246,"WOOLLARD, Anne Victoria",director,British
SC197229,"LOVE, Alasdair Graham",secretary,
SC197229,"LYNCH, James Thomas",director,British
SC197229,"LYON, David",director,British
SC197229,"SINCLAIR, Malcolm",director,British
SC197229,"TURNER, Mary Christine",director,British
SC197229,"BROWN, Jan Vanessa",secretary,British
SC197229,"FAIRBRASS, Julie",secretary,British
SC197229,"LEWIS, Matthew James",secretary,British
SC197229,"MCDOUGALL, Ewan Robert",secretary,British
SC197229,"BEATON, Norman",director,British
SC197229,"BLAIR, David",director,British
SC197229,"BLAIR, Laura Margaret",director,British
SC197229,"BROWN, Jan Vanessa",director,British
SC197229,"CARD, Amanda Jane",director,British
SC197229,"CATLIN, Martin",director,British
SC197229,"CLELLAND, Michaela",director,British
SC197229,"DOWNIE, Neil Campbell",director,British
SC197229,"EDWARDS, Tony",director,British
SC197229,"FILM, Anne Elizabeth, Ms.",director,American
SC197229,"GOOD, Clive Andrew",director,British
SC197229,"GREIG, Mairi",director,British
SC197229,"HAY, Alison Jean",director,British
SC197229,"HORWARD, Astrid",director,Dutch
SC197229,"KAUFMANN, Michael Arnold",director,British
SC197229,"KERR, David",director,British
SC197229,"MACDONALD, Kate",director,British
SC197229,"MACINTYRE, Neil",director,British
SC197229,"MACQUEEN, Graham Livingstone",director,British
SC197229,"MCCUISH, Roderick William",director,Scottish
SC197229,"MCILWRAITH, Robert John Taylor",director,British
SC197229,"MILLAR, Alan",director,British
SC197229,"PEDEN, Mandy Jane",director,British
SC197229,"PROTHEROUGH, David Edward",director,British
SC197229,"SEMPLE, John Donald",director,British
SC197229,"WALTON, Elaine Barbara",director,British
SC197229,"WALTON, Elaine Barbara",director,British
13515448,"CURTIS, Liv Louise",director,British
13515448,"CURTIS, Martin Robin",director,British
01980372,"BEALE, Dana, Dr",director,British
01980372,"BROOKS, Christopher Robert",director,British
01980372,"BUTLER, Richard David",director,British
01980372,"BRADING, John Arthur",secretary,British
01980372,"BRANNON, Kathy",secretary,British
01980372,"FLINT, Douglas Roy",secretary,British
01980372,"JAMIESON, David James",secretary,British
01980372,"LONG, Mairi Anne",secretary,British
01980372,"MACAULAY, Ian",secretary,British
01980372,"BRADING, John Arthur",director,British
01980372,"BRIGGS, Lorraine Barbara",director,British
01980372,"BRUCE, Ronald Charles",director,British
01980372,"COLEMAN, Cordelia Elizabeth",director,British
01980372,"DAVIS, Ann",director,British
01980372,"DORLING, Brigid",director,British
01980372,"FINN, Noel Matthew",director,British
01980372,"FINNEY, Josephine Noel",director,British
01980372,"FRITH, Myrtle",director,British
01980372,"GULLY, Aidan",director,British
01980372,"HEWETT, Jessica",director,British
01980372,"HEWETT, Mary Jessica Kathleen",director,British
01980372,"HUBBOLD, Waleya",director,British
01980372,"IMLACH, Michael",director,British
01980372,"JAMIESON, David James",director,British
01980372,"KELLY, Alfred",director,British
01980372,"KING, Peter Charles",director,British
01980372,"LEONARD, Francis Joseph",director,British
01980372,"MACAULAY, Ian",director,British
01980372,"MARCO, Francesca Christina",director,British
01980372,"MCALEENAN, Paul, Reverend",director,British
01980372,"MOUNCEY, Walter James",director,British
01980372,"MOWLL, Elisabeth Olive",director,British
01980372,"MUNDAY, Malcolm John",director,British
01980372,"PAVEY, Diana",director,British
01980372,"PAVEY, Diana",director,British
01980372,"PETROFF, Daphne",director,British
01980372,"SCHOLES, Bernard, Rev",director,British
01980372,"SINGH TOOR, Ann",director,British
01980372,"SINGH TOOR, Ann",director,British
01980372,"SIRETT, Gary Howard",director,British
01980372,"VICKERS, Graham Martin",director,British
01980372,"WEIJS, Luuk",director,Dutch
01980372,"WHARRAM, Jennie Marie",director,British
SC828406,"ALI, Muhammed Jahangir",director,British
15037969,"HUNT, James Martin",director,British
15037969,"ROUGHLEY, Kathleen Louise",director,British
02380908,"BARTLETT, Ridwaan Yousuf",secretary,
02380908,"INGHAM, Matthew John",director,British
02380908,"SIMPSON, Christopher Graham",director,British
02380908,"BARROCHE, Celine Arlette Virginie",secretary,
02380908,"HAYES, William Andrew",secretary,
02380908,"LYELL, Stephen Edward",secretary,Other
02380908,"PATEL, Vaishali Jagdish",secretary,
02380908,"RAMSBOTTOM, Ronald Arthur",secretary,British
02380908,"VENUS, David Anthony",secretary,British
02380908,"BAILLIEU, Charles Latham",director,British
02380908,"BANKS, Andrew David",director,British
02380908,"BARROCHE, Celine Arlette Virginie",director,French
02380908,"BEATON, David James",director,British
02380908,"BENNETZEN, Hans Olaf",director,Danish
02380908,"BLACK, Peter Vernon",director,British
02380908,"BROWN, Stephen Richard",director,British
02380908,"DAVID, Peter Vincent",director,British
02380908,"DIGHTON, Trevor Leslie",director,British
02380908,"GIBSON, Grahame Reginald",director,British
02380908,"HARROWER, James Arthur",director,British
02380908,"LUNDSBERG-NIELSEN, Soren",director,Danish
02380908,"RAJA, Himanshu Haridas",director,British
02380908,"RAMSBOTTOM, Ronald Arthur",director,British
02380908,"WALLIN, Bjorn Anders",director,Swedish
02380908,"WELLER, Timothy Peter",director,British
12482455,"ZAMAN, Shahid",director,Pakistani
12131365,"CALLINAN, James",director,British
12131365,"CALLINAN, Lesley",director,British
12131365,"SHELTON, Alan",director,British
12131365,"SHELTON, Nanette",director,British
14932757,"WILKINSON, James Terence",secretary,
14932757,"WILKINSON, James Terence",director,British
01036836,"COX, Marie",secretary,British
01036836,"COX, Trevor",director,British
01036836,"ULNDREAJ, Pellumb",director,British
01036836,"CHILD, Robert Peter",secretary,British
01036836,"CHILD, Diana Margaret",director,British
01036836,"CHILD, Robert Peter",director,British
16626024,"ALI, Mohammed Ehsan",director,British
16626024,"ALI, Ramzan",director,British
16626024,"FULCHER, Christopher Shaun",director,British
16626024,"ZAMAN, Umar",director,British
16340009,"KHAN, Armna",director,British
16340009,"KHAN, Amjed",director,British
07977105,"MCCLENAGHAN, Michelle Louise",director,British
07977105,"TOWNS, Richard Anthony Mark",director,British
16513611,"VAIL, Gary Stephen",director,British
15867266,"HILDEBRAND, Jason",director,British
SC872991,"AMBROSE, Craig",director,British
SC872991,"HARKINS, Sean",director,British
16440810,"EDELMAN, Martin Lee",director,American
16440810,"THIRION, Frederik",director,South African
16440810,"MIR, Omar Iqtidar",director,British
09569221,"SICORELLO, Siobhan Marie",director,British
09569221,"BEARDMORE, Donald Amos",director,British
09569221,"EDMANS, John Edward",director,British
09569221,"SMITH, Mark Derek",director,British
08250560,"SAGE, Jonathan",director,British
16122524,"MURPHY, John Patrick",director,British
17071007,"AWAN, Malik Amjad Nawaz",director,British
15651357,CHARTERHOUSE ACCOUNTANCY SERVICES LTD,corporate-secretary,
15651357,"LITTLEJOHN, Emma Elizabeth",director,British
15651357,"LITTLEJOHN, Guy James",director,British
15651357,"LITTLEJOHN, Fiona Lindsay",director,British
13880573,"LIROLLA, Marcel Roda, Sr",director,Brazilian
13880573,"GUEDES JUNIOR, Cleber Rossa",director,Brazilian
05370848,"BRUCE, Robert",director,British
05370848,"BRUMBY, Adam",director,British
05370848,"CLARKE, Paul Steven",director,British
05370848,"HOWARTH, Michael Anthony",director,British
05370848,"VINK, Carl Stuart Latimer",director,British
05370848,THIRD PARTY COMPANY SECRETARIES LIMITED,corporate-secretary,
05370848,"AUGER, Carl",director,British
05370848,"BRUCE, Robert",director,British
05370848,"DEARLOVE, Glenn",director,British
05370848,"ELDRIDGE, Chris",director,British
05370848,"FORDHAM, Philip James",director,British
05370848,"FORDHAM, Philip James",director,British
05370848,"JOBLING, Richard Peter",director,British
05370848,"THOMPSON, Scott Lawrence",director,British
05370848,"VINK, Naomi",director,British
05370848,THIRD PARTY FORMATIONS LIMITED,corporate-director,
07822851,"CASWELL, John Graham",director,British
07822851,"YOUNG, Lea William",director,British
07822851,"DUDLEY, Kathleen",director,British
07822851,"DUDLEY, Malcolm",director,British
07822851,"RUDGE, Carole Ruth",director,British
07822851,"RUDGE, Paul Scott",director,British
07822851,"STEPHENS, Graham Robertson",director,British
07822851,"TEA, Beverley Ann",director,British
07822851,"TEA, Simon Robert David",director,British
15513795,"CASWELL, John Graham",director,British
15513795,"YOUNG, Lea William",director,British
11066930,"DE SOUSA, Sergio Murilio",director,British
